Date,Time,Temp_C,Dewpoint_C,Humidity,Pressure_mb,Rain_Rate_in_per_hr,Rain_Day_in
24/04/2026,21:13:42,30.4,25.0,73,1010.1,0.0000,0.0000
24/04/2026,21:18:42,30.4,25.0,73,1010.2,0.0000,0.0000
24/04/2026,21:23:42,30.4,25.0,73,1010.2,0.0000,0.0000
24/04/2026,21:28:42,30.4,25.0,73,1010.1,0.0000,0.0000
24/04/2026,21:33:42,30.3,25.0,74,1010.1,0.0000,0.0000
24/04/2026,21:38:42,30.3,25.0,74,1010.2,0.0000,0.0000
24/04/2026,21:43:42,30.2,25.0,74,1010.3,0.0000,0.0000
24/04/2026,21:48:43,30.1,25.0,74,1010.3,0.0000,0.0000
24/04/2026,21:53:42,30.1,25.0,74,1010.3,0.0000,0.0000
24/04/2026,21:58:42,30.1,25.0,75,1010.4,0.0000,0.0000
24/04/2026,22:03:20,30.0,25.0,75,1010.3,0.0000,0.0000
24/04/2026,22:33:20,29.9,25.0,75,1010.3,0.0000,0.0000
26/04/2026,11:06:28,28.0,25.6,87,1009.8,0.0000,0.0000
26/04/2026,11:08:26,28.0,25.6,87,1009.8,0.0000,0.0000
26/04/2026,11:10:35,28.0,25.6,87,1009.8,0.0000,0.0000
26/04/2026,11:40:36,28.0,25.6,87,1009.8,0.0000,0.0000
04/05/2026,14:02:16,35.5,26.7,61,1006.5,0.0000,0.0000
04/05/2026,14:25:57,35.8,26.7,59,1006.1,0.0000,0.0000
05/05/2026,19:14:39,31.5,25.6,71,1008.7,0.0000,0.0000
05/05/2026,19:29:39,31.3,25.6,72,1008.8,0.0000,0.0000
05/05/2026,19:44:39,31.1,25.6,72,1009.0,0.0000,0.0000
05/05/2026,19:59:39,30.8,25.6,73,1009.1,0.0000,0.0000
05/05/2026,20:14:39,30.7,25.6,74,1009.3,0.0000,0.0000
05/05/2026,20:29:39,30.7,25.6,75,1009.4,0.0000,0.0000
05/05/2026,20:44:39,30.5,25.6,75,1009.7,0.0000,0.0000
05/05/2026,21:22:51,30.1,25.6,77,1009.9,0.0000,0.0000
05/05/2026,21:37:51,30.0,25.6,78,1010.1,0.0000,0.0000
05/05/2026,22:03:43,29.8,25.6,78,1010.0,0.0000,0.0000
05/05/2026,22:18:44,29.7,25.6,79,1010.1,0.0000,0.0000
05/05/2026,22:33:44,29.6,25.6,79,1010.2,0.0000,0.0000
05/05/2026,22:48:43,29.6,25.6,79,1010.1,0.0000,0.0000
05/05/2026,23:03:43,29.4,25.6,79,1009.9,0.0000,0.0000
05/05/2026,23:18:43,29.2,25.6,80,1009.9,0.0000,0.0000
05/05/2026,23:33:43,29.2,25.6,80,1009.6,0.0000,0.0000
06/05/2026,13:31:56,32.2,26.7,73,1008.3,0.0000,0.0000
