Serial No.,Date,Time,Device Name,tankpercent
1,27/01/2026,23:57:29,IIIT Pond,53
2,27/01/2026,23:52:29,IIIT Pond,53.1
3,27/01/2026,23:47:29,IIIT Pond,52.9
4,27/01/2026,23:42:29,IIIT Pond,53
5,27/01/2026,23:37:37,IIIT Pond,52.9
6,27/01/2026,23:32:29,IIIT Pond,52.9
7,27/01/2026,23:27:29,IIIT Pond,53.1
8,27/01/2026,23:22:29,IIIT Pond,53
9,27/01/2026,23:17:29,IIIT Pond,53
10,27/01/2026,23:12:29,IIIT Pond,53.1
11,27/01/2026,23:07:29,IIIT Pond,53
12,27/01/2026,23:02:38,IIIT Pond,53.1
13,27/01/2026,22:57:29,IIIT Pond,53.1
14,27/01/2026,22:52:30,IIIT Pond,53
15,27/01/2026,22:47:30,IIIT Pond,53.1
16,27/01/2026,22:42:30,IIIT Pond,53.1
17,27/01/2026,22:37:30,IIIT Pond,53.1
18,27/01/2026,22:32:30,IIIT Pond,53.1
19,27/01/2026,22:27:30,IIIT Pond,53.1
20,27/01/2026,22:22:30,IIIT Pond,53.1
21,27/01/2026,22:17:30,IIIT Pond,53
22,27/01/2026,22:12:30,IIIT Pond,53.1
23,27/01/2026,22:07:30,IIIT Pond,53.1
24,27/01/2026,22:02:30,IIIT Pond,53.1
25,27/01/2026,21:57:30,IIIT Pond,53
26,27/01/2026,21:52:30,IIIT Pond,53
27,27/01/2026,21:47:30,IIIT Pond,53
28,27/01/2026,21:42:30,IIIT Pond,53
29,27/01/2026,21:37:31,IIIT Pond,53.1
30,27/01/2026,21:32:31,IIIT Pond,53.1
31,27/01/2026,21:27:31,IIIT Pond,53.1
32,27/01/2026,21:22:31,IIIT Pond,53.1
33,27/01/2026,21:17:31,IIIT Pond,53
34,27/01/2026,21:12:31,IIIT Pond,53
35,27/01/2026,21:07:31,IIIT Pond,53.1
36,27/01/2026,21:02:31,IIIT Pond,53.1
37,27/01/2026,20:57:31,IIIT Pond,53
38,27/01/2026,20:52:39,IIIT Pond,53
39,27/01/2026,20:47:31,IIIT Pond,53.1
40,27/01/2026,20:42:31,IIIT Pond,53
41,27/01/2026,20:37:31,IIIT Pond,53
42,27/01/2026,20:32:31,IIIT Pond,53.1
43,27/01/2026,20:27:32,IIIT Pond,53
44,27/01/2026,20:22:32,IIIT Pond,53.1
45,27/01/2026,20:17:32,IIIT Pond,53.1
46,27/01/2026,20:12:32,IIIT Pond,53.1
47,27/01/2026,20:07:32,IIIT Pond,53.1
48,27/01/2026,20:02:32,IIIT Pond,53
49,27/01/2026,19:57:32,IIIT Pond,53.1
50,27/01/2026,19:52:32,IIIT Pond,53.1
51,27/01/2026,19:47:32,IIIT Pond,53.1
52,27/01/2026,19:42:32,IIIT Pond,53.1
53,27/01/2026,19:37:32,IIIT Pond,53.1
54,27/01/2026,19:32:32,IIIT Pond,53.1
55,27/01/2026,19:27:40,IIIT Pond,53.1
56,27/01/2026,19:22:32,IIIT Pond,53
57,27/01/2026,19:17:32,IIIT Pond,53
58,27/01/2026,19:12:33,IIIT Pond,53
59,27/01/2026,19:07:33,IIIT Pond,53
60,27/01/2026,19:02:33,IIIT Pond,53
61,27/01/2026,18:57:33,IIIT Pond,53
62,27/01/2026,18:52:33,IIIT Pond,53
63,27/01/2026,18:47:33,IIIT Pond,53
64,27/01/2026,18:42:33,IIIT Pond,53
65,27/01/2026,18:37:33,IIIT Pond,53
66,27/01/2026,18:32:33,IIIT Pond,53
67,27/01/2026,18:27:33,IIIT Pond,53
68,27/01/2026,18:22:33,IIIT Pond,53
